# time*2*pi	ke	dkedt	ke smag	dkedt smag
13.62	0.042799283	0.005075705	0.042354931	0.004871472
13.64	0.042698076	0.005060336	0.042257922	0.004850492
13.66	0.042597181	0.005044733	0.042161311	0.004830514
13.68	0.042496589	0.005029637	0.04206511	0.004810046
13.7	0.042396269	0.005015988	0.04196932	0.004789535
13.72	0.042296178	0.005004534	0.041873994	0.004766302
13.74	0.042196289	0.004994475	0.041779112	0.004744075
13.76	0.042096585	0.004985168	0.041684681	0.004721538
13.78	0.041997019	0.004978313	0.041590691	0.004699525
13.8	0.041897609	0.004970507	0.041497123	0.0046784
13.82	0.041798384	0.00496124	0.041403967	0.004657808
13.84	0.041699356	0.00495141	0.041311187	0.004638995
13.86	0.041600495	0.004943029	0.041218746	0.004622025
13.88	0.041501775	0.004936021	0.041126666	0.004604038
13.9	0.041403221	0.004927692	0.041034949	0.004585805
13.92	0.041304813	0.004920401	0.040943634	0.004565751
13.94	0.041206573	0.004912019	0.04085272	0.004545734
13.96	0.041108487	0.004904283	0.040762164	0.004527799
13.98	0.041010543	0.004897192	0.040671974	0.004509506
14	0.04091279	0.00488769	0.040582153	0.004491029
14.02	0.040815213	0.004878834	0.040492741	0.004470578
14.04	0.040717905	0.004865411	0.040403743	0.004449918
14.06	0.040620807	0.004854884	0.040315146	0.004429843
14.08	0.040523795	0.004850582	0.040226955	0.004409563
14.1	0.04042685	0.004847259	0.04013912	0.004391735
14.12	0.040329987	0.004843156	0.040051628	0.004374592
14.14	0.04023328	0.004835368	0.039964469	0.004357978
14.16	0.04013676	0.004825997	0.039877603	0.004343281
14.18	0.040040396	0.004818195	0.039791035	0.004328424
14.2	0.039944212	0.004809172	0.03970481	0.004311242
14.22	0.039848297	0.004795761	0.039618948	0.004293118
14.24	0.039752686	0.004780577	0.039533423	0.004276251
14.26	0.039657355	0.004766528	0.039448239	0.00425917
14.28	0.03956228	0.004753766	0.039363354	0.004244235
14.3	0.039467503	0.004738828	0.039278755	0.004229997
14.32	0.03937298	0.004726182	0.039194455	0.004214993
14.34	0.039278709	0.004713506	0.039110437	0.004200904
14.36	0.039184617	0.004704638	0.039026701	0.004186755
14.38	0.03909068	0.004696823	0.038943242	0.004172984
14.4	0.038996883	0.004689844	0.038860023	0.004160922
14.42	0.038903157	0.004686323	0.038777069	0.00414772
14.44	0.038809486	0.004683541	0.038694394	0.004133723
14.46	0.03871586	0.004681305	0.038611975	0.00412096
14.48	0.038622301	0.004677935	0.038529814	0.004108081
14.5	0.038528857	0.004672227	0.038447916	0.004094875
14.52	0.038435573	0.004664196	0.038366255	0.004083052
14.54	0.038342482	0.004654524	0.038284779	0.004073798
14.56	0.03824957	0.004645604	0.038203504	0.004063782
14.58	0.038156895	0.004633757	0.038122458	0.004052265
14.6	0.038064527	0.004618386	0.038041672	0.004039319
14.62	0.037972506	0.004601088	0.037961108	0.004028192
14.64	0.037880786	0.00458596	0.037880808	0.004014996
14.66	0.037789379	0.00457036	0.037800751	0.004002848
14.68	0.037698255	0.004556185	0.037720931	0.003990996
14.7	0.037607428	0.004541365	0.037641331	0.003980017
14.72	0.037516865	0.004528136	0.037561917	0.003970709
14.74	0.037426543	0.004516139	0.037482706	0.003960536
14.76	0.03733644	0.004505111	0.037403758	0.003947417
14.78	0.037246575	0.004493266	0.037325032	0.003936266
14.8	0.037156987	0.004479404	0.037246509	0.003926177
14.82	0.037067688	0.004464937	0.037168187	0.003916086
14.84	0.036978756	0.004446601	0.037090086	0.003905062
14.86	0.036890238	0.004425925	0.037012188	0.003894891
14.88	0.036802113	0.004406246	0.036934485	0.00388513
14.9	0.036714345	0.004388378	0.036856973	0.003875634
14.92	0.036626898	0.004372344	0.036779645	0.003866362
14.94	0.036539758	0.00435702	0.036702517	0.003856438
14.96	0.036452932	0.004341312	0.03662557	0.003847318
14.98	0.036366443	0.004324454	0.036548819	0.003837584
15	0.03628031	0.004306656	0.036472245	0.0038287
15.02	0.036194564	0.004287262	0.036395853	0.003819596
15.04	0.036109223	0.004267061	0.03631966	0.003809627
15.06	0.036024258	0.004248233	0.036243664	0.003799794
15.08	0.035939713	0.004227262	0.036167882	0.003789101
15.1	0.035855649	0.004203218	0.036092325	0.003777883
15.12	0.035772056	0.004179658	0.036017044	0.003764052
15.14	0.035688904	0.004157562	0.035942012	0.003751568
15.16	0.035606183	0.004136075	0.035867163	0.003742452
15.18	0.035523793	0.0041195	0.035792502	0.003733072
15.2	0.03544169	0.004105125	0.035717961	0.00372704
15.22	0.035359904	0.004089301	0.035643539	0.00372112
15.24	0.035278483	0.004071068	0.035569227	0.003715589
15.26	0.035197409	0.004053727	0.035495028	0.003709943
15.28	0.035116657	0.004037565	0.035420962	0.003703306
15.3	0.035036208	0.004022447	0.035347054	0.003695385
15.32	0.034956062	0.004007326	0.035273332	0.003686124
15.34	0.034876217	0.003992247	0.035199803	0.003676437
15.36	0.03479663	0.003979344	0.035126441	0.003668067
15.38	0.034717326	0.003965193	0.03505326	0.003659085
15.4	0.034638306	0.003951018	0.034980283	0.003648844
15.42	0.034559588	0.003935889	0.034907445	0.003641895
15.44	0.034481148	0.003921975	0.03483474	0.003635246
15.46	0.034403015	0.003906663	0.034762125	0.00363077
15.48	0.034325209	0.0038903	0.034689581	0.003627199
15.5	0.034247752	0.003872842	0.034617134	0.003622324
15.52	0.034170636	0.003855816	0.034544755	0.00361894
15.54	0.034093862	0.003838715	0.034472483	0.003613629
15.56	0.034017427	0.003821719	0.03440034	0.00360716
15.58	0.033941322	0.003805281	0.034328329	0.003600535
15.6	0.033865576	0.003787267	0.034256417	0.003595613
15.62	0.033790171	0.003770267	0.034184583	0.003591663
15.64	0.033715096	0.003753745	0.03411286	0.003586157
15.66	0.033640327	0.003738457	0.034041246	0.003580691
15.68	0.033565868	0.003722937	0.033969744	0.003575097
15.7	0.033491721	0.003707374	0.033898353	0.003569561
15.72	0.033417879	0.003692106	0.033827059	0.003564707
15.74	0.033344319	0.003677969	0.033755843	0.003560816
15.76	0.033271072	0.003662371	0.033684711	0.003556575
15.78	0.033198155	0.003645842	0.033613669	0.00355209
15.8	0.033125541	0.003630701	0.033542751	0.003545899
15.82	0.033053198	0.003617141	0.033471946	0.00354027
15.84	0.032981116	0.003604119	0.033401233	0.003535637
15.86	0.032909289	0.003591349	0.033330623	0.003530511
15.88	0.032837714	0.003578729	0.033260089	0.003526699
15.9	0.032766379	0.003566769	0.033189636	0.003522665
15.92	0.03269529	0.003554452	0.033119272	0.003518188
15.94	0.032624486	0.003540204	0.03304902	0.003512615
15.96	0.032553956	0.003526481	0.032978894	0.003506291
15.98	0.032483688	0.003513425	0.032908885	0.003500473
16	0.03241365	0.003501867	0.032839011	0.003493682
16.02	0.032343863	0.003489362	0.032769269	0.0034871
16.04	0.032274314	0.003477447	0.032699681	0.0034794
16.06	0.032205033	0.003464044	0.03263026	0.003471042
16.08	0.032136015	0.003450927	0.032561012	0.003462396
16.1	0.032067256	0.003437912	0.032491942	0.003453506
16.12	0.031998737	0.003425961	0.032423039	0.003445161
16.14	0.031930437	0.003415015	0.032354318	0.003436047
16.16	0.031862352	0.003404257	0.03228577	0.003427382
16.18	0.031794466	0.003394291	0.032217375	0.003419741
16.2	0.031726782	0.003384203	0.032149124	0.003412575
16.22	0.031659308	0.003373691	0.032081015	0.003405425
16.24	0.031592054	0.003362702	0.032013047	0.003398436
16.26	0.031525013	0.003352068	0.031945217	0.003391484
16.28	0.031458175	0.003341855	0.031877532	0.003384246
16.3	0.031391541	0.003331713	0.03180999	0.003377124
16.32	0.031325108	0.003321652	0.031742597	0.00336965
16.34	0.031258861	0.003312343	0.031675349	0.003362396
